日期,沪深300,上证指数,恒生指数,标普500,纳斯达克指数,道琼斯工业平均,恒生科技指数,中债国债指数,中债企业债指数,中债信用债指数,中债地方政府债指数,中债国债及政策性银行债指数,南华黄金,南华黑色
2018/6/29,3510.98 ,2847.42 ,28955.11 ,2718.37 ,7510.30 ,24271.41 ,5002.23 ,175.91 ,169.91 ,167.38 ,131.70 ,149.88 ,1111.82 ,1000.00 
2018/7/2,3407.96 ,2775.56 ,,2726.71 ,7567.69 ,24307.18 ,,176.04 ,170.12 ,167.60 ,131.80 ,150.06 ,1114.68 ,974.73 
2018/7/3,3409.28 ,2786.89 ,28545.57 ,2713.22 ,7502.67 ,24174.82 ,4932.99 ,176.06 ,170.25 ,167.74 ,131.86 ,150.12 ,1113.86 ,975.96 
2018/7/4,3363.75 ,2759.13 ,28241.67 ,,,,4770.80 ,176.02 ,170.29 ,167.82 ,131.86 ,150.15 ,1116.94 ,978.36 
2018/7/5,3342.44 ,2733.88 ,28182.09 ,2736.61 ,7586.43 ,24356.74 ,4719.52 ,176.15 ,170.45 ,167.97 ,131.92 ,150.32 ,1117.35 ,971.62 
2018/7/6,3365.12 ,2747.23 ,28315.62 ,2759.82 ,7688.39 ,24456.48 ,4753.34 ,175.99 ,170.53 ,168.03 ,132.02 ,150.26 ,1119.39 ,972.22 
2018/7/9,3459.18 ,2815.11 ,28688.50 ,2784.17 ,7756.20 ,24776.59 ,4887.89 ,175.91 ,170.62 ,168.11 ,132.09 ,150.17 ,1118.78 ,981.44 
2018/7/10,3467.52 ,2827.63 ,28682.25 ,2793.84 ,7759.20 ,24919.66 ,4819.58 ,175.88 ,170.65 ,168.12 ,132.12 ,150.09 ,1114.27 ,981.11 
2018/7/11,3407.53 ,2777.77 ,28311.69 ,2774.02 ,7716.61 ,24700.45 ,4771.11 ,176.00 ,170.68 ,168.13 ,132.29 ,150.19 ,1117.76 ,985.55 
2018/7/12,3481.06 ,2837.66 ,28480.83 ,2798.29 ,7823.92 ,24924.89 ,4945.74 ,176.03 ,170.71 ,168.16 ,132.30 ,150.20 ,1113.86 ,1002.22 
2018/7/13,3492.69 ,2831.18 ,28525.44 ,2801.31 ,7825.98 ,25019.41 ,5008.75 ,176.32 ,170.70 ,168.15 ,132.46 ,150.41 ,1113.04 ,991.60 
2018/7/16,3472.09 ,2814.04 ,28539.66 ,2798.43 ,7805.72 ,25064.36 ,5022.16 ,176.46 ,170.84 ,168.31 ,132.60 ,150.57 ,1114.48 ,991.32 
2018/7/17,3449.38 ,2798.13 ,28181.68 ,2809.55 ,7855.12 ,25119.89 ,4932.65 ,176.46 ,170.81 ,168.32 ,132.61 ,150.60 ,1112.43 ,991.27 
2018/7/18,3431.32 ,2787.26 ,28117.42 ,2815.62 ,7854.44 ,25199.29 ,4906.77 ,176.58 ,170.84 ,168.35 ,132.66 ,150.76 ,1102.19 ,989.36 
2018/7/19,3428.34 ,2772.55 ,28010.86 ,2804.49 ,7825.30 ,25064.50 ,4847.24 ,176.81 ,171.04 ,168.52 ,132.76 ,151.00 ,1107.31 ,997.10 
2018/7/20,3492.89 ,2829.27 ,28224.48 ,2801.83 ,7820.20 ,25058.12 ,4830.53 ,176.54 ,171.26 ,168.71 ,132.78 ,150.84 ,1108.74 ,1006.55 
2018/7/23,3525.75 ,2859.54 ,28256.12 ,2806.98 ,7841.87 ,25044.29 ,4799.09 ,176.48 ,171.40 ,168.86 ,132.85 ,150.86 ,1113.86 ,1015.83 
2018/7/24,3581.71 ,2905.56 ,28662.57 ,2820.40 ,7840.77 ,25241.94 ,4873.02 ,176.21 ,171.53 ,168.96 ,132.77 ,150.56 ,1113.04 ,1016.01 
2018/7/25,3577.75 ,2903.65 ,28920.90 ,2846.07 ,7932.24 ,25414.10 ,4918.92 ,176.20 ,171.60 ,169.04 ,132.72 ,150.54 ,1113.04 ,1024.81 
2018/7/26,3536.25 ,2882.23 ,28781.14 ,2837.44 ,7852.18 ,25527.07 ,4854.27 ,176.29 ,171.83 ,169.19 ,132.81 ,150.62 ,1114.68 ,1023.57 
2018/7/27,3521.23 ,2873.59 ,28804.28 ,2818.82 ,7737.42 ,25451.06 ,4892.27 ,176.53 ,171.92 ,169.29 ,132.83 ,150.83 ,1112.23 ,1052.90 
2018/7/30,3515.08 ,2869.05 ,28733.13 ,2802.60 ,7630.00 ,25306.83 ,4815.94 ,176.67 ,172.11 ,169.45 ,132.91 ,150.99 ,1112.43 ,1057.26 
2018/7/31,3517.66 ,2876.40 ,28583.01 ,2816.29 ,7671.79 ,25415.19 ,4686.55 ,176.99 ,172.29 ,169.63 ,133.07 ,151.29 ,1112.84 ,1060.36 
2018/8/1,3447.39 ,2824.53 ,28340.74 ,2813.36 ,7707.29 ,25333.82 ,4687.49 ,177.17 ,172.50 ,169.79 ,133.18 ,151.42 ,1112.02 ,1052.53 
2018/8/2,3370.96 ,2768.02 ,27714.56 ,2827.22 ,7802.69 ,25326.16 ,4576.89 ,177.21 ,172.70 ,169.97 ,133.26 ,151.47 ,1109.15 ,1057.92 
2018/8/3,3315.28 ,2740.44 ,27676.32 ,2840.35 ,7812.01 ,25462.58 ,4497.40 ,177.38 ,172.82 ,170.08 ,133.41 ,151.69 ,1106.90 ,1079.40 
2018/8/6,3273.27 ,2705.16 ,27819.56 ,2850.40 ,7859.68 ,25502.18 ,4468.66 ,177.48 ,173.09 ,170.28 ,133.56 ,151.86 ,1107.10 ,1105.03 
2018/8/7,3368.87 ,2779.37 ,28248.88 ,2858.45 ,7883.66 ,25628.91 ,4581.21 ,177.46 ,173.33 ,170.45 ,133.64 ,151.93 ,1106.49 ,1110.78 
2018/8/8,3314.51 ,2744.07 ,28359.14 ,2857.70 ,7888.33 ,25583.75 ,4597.00 ,177.16 ,173.38 ,170.47 ,133.44 ,151.73 ,1104.03 ,1106.18 
