日期,沪深300,上证指数,恒生指数,标普500,纳斯达克指数,道琼斯工业平均,恒生科技指数,中债国债指数,中债企业债指数,中债信用债指数,中债地方政府债指数,中债国债及政策性银行债指数,南华黄金,南华黑色
2018-06-29,3510.98,2847.42,28955.11,2718.37,7510.3,24271.41,5002.23,175.91,169.91,167.38,131.7,149.88,1111.82,1000.0
2018-07-02,3407.96,2775.56,28750.34,2726.71,7567.69,24307.18,4967.61,176.04,170.12,167.6,131.8,150.06,1114.68,974.73
2018-07-03,3409.28,2786.89,28545.57,2713.22,7502.67,24174.82,4932.99,176.06,170.25,167.74,131.86,150.12,1113.86,975.96
2018-07-04,3363.75,2759.13,28241.67,2724.915,7544.55,24265.78,4770.8,176.02,170.29,167.82,131.86,150.15,1116.94,978.36
2018-07-05,3342.44,2733.88,28182.09,2736.61,7586.43,24356.74,4719.52,176.15,170.45,167.97,131.92,150.32,1117.35,971.62
2018-07-06,3365.12,2747.23,28315.62,2759.82,7688.39,24456.48,4753.34,175.99,170.53,168.03,132.02,150.26,1119.39,972.22
2018-07-09,3459.18,2815.11,28688.5,2784.17,7756.2,24776.59,4887.89,175.91,170.62,168.11,132.09,150.17,1118.78,981.44
2018-07-10,3467.52,2827.63,28682.25,2793.84,7759.2,24919.66,4819.58,175.88,170.65,168.12,132.12,150.09,1114.27,981.11
2018-07-11,3407.53,2777.77,28311.69,2774.02,7716.61,24700.45,4771.11,176.0,170.68,168.13,132.29,150.19,1117.76,985.55
2018-07-12,3481.06,2837.66,28480.83,2798.29,7823.92,24924.89,4945.74,176.03,170.71,168.16,132.3,150.2,1113.86,1002.22
2018-07-13,3492.69,2831.18,28525.44,2801.31,7825.98,25019.41,5008.75,176.32,170.7,168.15,132.46,150.41,1113.04,991.6
2018-07-16,3472.09,2814.04,28539.66,2798.43,7805.72,25064.36,5022.16,176.46,170.84,168.31,132.6,150.57,1114.48,991.32
2018-07-17,3449.38,2798.13,28181.68,2809.55,7855.12,25119.89,4932.65,176.46,170.81,168.32,132.61,150.6,1112.43,991.27
2018-07-18,3431.32,2787.26,28117.42,2815.62,7854.44,25199.29,4906.77,176.58,170.84,168.35,132.66,150.76,1102.19,989.36
2018-07-19,3428.34,2772.55,28010.86,2804.49,7825.3,25064.5,4847.24,176.81,171.04,168.52,132.76,151.0,1107.31,997.1
2018-07-20,3492.89,2829.27,28224.48,2801.83,7820.2,25058.12,4830.53,176.54,171.26,168.71,132.78,150.84,1108.74,1006.55
2018-07-23,3525.75,2859.54,28256.12,2806.98,7841.87,25044.29,4799.09,176.48,171.4,168.86,132.85,150.86,1113.86,1015.83
2018-07-24,3581.71,2905.56,28662.57,2820.4,7840.77,25241.94,4873.02,176.21,171.53,168.96,132.77,150.56,1113.04,1016.01
2018-07-25,3577.75,2903.65,28920.9,2846.07,7932.24,25414.1,4918.92,176.2,171.6,169.04,132.72,150.54,1113.04,1024.81
2018-07-26,3536.25,2882.23,28781.14,2837.44,7852.18,25527.07,4854.27,176.29,171.83,169.19,132.81,150.62,1114.68,1023.57
2018-07-27,3521.23,2873.59,28804.28,2818.82,7737.42,25451.06,4892.27,176.53,171.92,169.29,132.83,150.83,1112.23,1052.9
2018-07-30,3515.08,2869.05,28733.13,2802.6,7630.0,25306.83,4815.94,176.67,172.11,169.45,132.91,150.99,1112.43,1057.26
2018-07-31,3517.66,2876.4,28583.01,2816.29,7671.79,25415.19,4686.55,176.99,172.29,169.63,133.07,151.29,1112.84,1060.36
2018-08-01,3447.39,2824.53,28340.74,2813.36,7707.29,25333.82,4687.49,177.17,172.5,169.79,133.18,151.42,1112.02,1052.53
2018-08-02,3370.96,2768.02,27714.56,2827.22,7802.69,25326.16,4576.89,177.21,172.7,169.97,133.26,151.47,1109.15,1057.92
2018-08-03,3315.28,2740.44,27676.32,2840.35,7812.01,25462.58,4497.4,177.38,172.82,170.08,133.41,151.69,1106.9,1079.4
2018-08-06,3273.27,2705.16,27819.56,2850.4,7859.68,25502.18,4468.66,177.48,173.09,170.28,133.56,151.86,1107.1,1105.03
2018-08-07,3368.87,2779.37,28248.88,2858.45,7883.66,25628.91,4581.21,177.46,173.33,170.45,133.64,151.93,1106.49,1110.78
2018-08-08,3314.51,2744.07,28359.14,2857.7,7888.33,25583.75,4597.0,177.16,173.38,170.47,133.44,151.73,1104.03,1106.18
2018-08-09,3397.53,2794.38,28607.3,2853.58,7891.78,25509.23,4726.44,176.69,173.3,170.34,133.23,151.29,1104.24,1110.67
2018-08-10,3405.02,2795.31,28366.62,2833.28,7839.11,25313.14,4730.61,176.62,173.14,170.16,133.2,151.24,1103.62,1096.62
2018-08-13,3390.34,2785.87,27936.57,2821.93,7819.71,25187.7,4621.48,176.26,173.06,170.08,133.02,150.93,1106.49,1126.0
2018-08-14,3372.91,2780.97,27752.93,2839.96,7870.89,25299.92,4333.8,176.39,172.98,170.04,133.08,151.09,1096.45,1114.91
2018-08-15,3291.98,2723.26,27323.59,2818.37,7774.12,25162.41,4157.61,176.33,173.0,170.11,133.02,151.05,1095.43,1119.41
2018-08-16,3276.73,2705.19,27100.06,2840.69,7806.52,25558.73,4115.83,176.13,172.96,170.05,132.95,150.91,1081.5,1119.5
2018-08-17,3229.62,2668.97,27213.41,2850.13,7816.33,25669.32,4120.63,175.32,172.81,169.9,132.88,150.44,1079.04,1155.8
2018-08-20,3267.25,2698.47,27598.02,2857.05,7821.01,25758.69,4199.03,175.39,172.79,169.89,132.86,150.4,1086.21,1164.68
2018-08-21,3326.65,2733.83,27752.79,2862.96,7859.17,25822.29,4368.6,175.2,172.66,169.82,132.79,150.27,1091.13,1137.9
2018-08-22,3307.95,2714.61,27927.58,2861.82,7889.1,25733.6,4373.03,175.41,172.63,169.83,132.95,150.44,1090.72,1140.27
2018-08-23,3320.03,2724.62,27790.46,2856.98,7878.46,25656.98,4394.84,175.61,172.72,169.92,133.11,150.66,1090.51,1122.2
2018-08-24,3325.33,2729.43,27671.87,2874.69,7945.98,25790.35,4338.29,175.6,172.83,170.01,133.15,150.67,1090.92,1133.17
2018-08-27,3406.57,2780.9,28271.27,2896.74,8017.9,26049.64,4456.74,175.61,172.95,170.09,133.11,150.61,1095.63,1107.38
2018-08-28,3400.17,2777.98,28351.62,2897.52,8030.04,26064.02,4448.97,175.66,172.91,170.06,133.11,150.62,1099.12,1120.28
2018-08-29,3386.57,2769.3,28416.44,2914.04,8109.69,26124.57,4464.8,175.64,172.9,170.06,133.15,150.63,1094.0,1108.19
2018-08-30,3351.09,2737.74,28164.05,2901.13,8088.36,25986.92,4416.56,175.86,172.98,170.12,133.27,150.76,1095.63,1094.54
2018-08-31,3334.5,2725.25,27888.55,2901.52,8109.54,25964.82,4387.95,175.96,173.08,170.19,133.32,150.87,1097.07,1088.78
2018-09-03,3321.82,2720.73,27712.54,2899.12,8100.395,25958.65,4309.32,175.82,173.13,170.24,133.27,150.77,1092.15,1079.62
2018-09-04,3363.9,2750.58,27973.34,2896.72,8091.25,25952.48,4403.18,175.68,173.16,170.26,133.21,150.72,1088.06,1087.08
2018-09-05,3298.14,2704.34,27243.85,2888.6,7995.17,25974.99,4299.75,175.69,173.23,170.31,133.19,150.72,1088.06,1085.36
2018-09-06,3262.88,2691.59,26974.82,2878.05,7922.73,25995.87,4219.89,175.66,173.3,170.32,133.2,150.71,1091.33,1107.91
2018-09-07,3277.64,2702.3,26973.47,2871.68,7902.54,25916.54,4219.85,175.58,173.31,170.32,133.23,150.67,1094.61,1101.32
2018-09-10,3230.07,2669.49,26613.42,2877.13,7924.16,25857.07,4081.53,175.26,173.36,170.36,133.18,150.51,1090.72,1121.96
2018-09-11,3224.21,2664.8,26422.55,2887.89,7972.47,25971.06,4039.7,175.1,173.31,170.33,133.14,150.37,1093.79,1080.03
2018-09-12,3202.02,2656.11,26345.04,2888.92,7954.23,25998.92,4017.13,175.19,173.31,170.33,133.26,150.45,1092.97,1071.94
2018-09-13,3236.57,2686.58,27014.49,2904.18,8013.71,26145.99,4170.23,175.28,173.34,170.38,133.35,150.5,1098.3,1084.05
2018-09-14,3242.09,2681.64,27286.41,2904.98,8010.04,26154.67,4234.91,175.45,173.38,170.41,133.41,150.59,1100.55,1086.58
2018-09-17,3204.92,2651.79,26932.85,2888.8,7895.79,26062.12,4126.91,175.58,173.53,170.51,133.5,150.71,1095.22,1088.21
2018-09-18,3269.43,2699.95,27084.66,2904.31,7956.11,26246.96,4188.19,175.59,173.59,170.57,133.55,150.72,1096.45,1100.87
2018-09-19,3312.48,2730.85,27407.37,2907.95,7950.04,26405.76,4253.18,175.43,173.63,170.59,133.58,150.66,1097.68,1101.14
2018-09-20,3310.13,2729.24,27477.67,2930.75,8028.23,26656.98,4255.39,175.34,173.64,170.59,133.51,150.56,1098.71,1094.14
2018-09-21,3410.49,2797.49,27953.58,2929.67,7986.96,26743.5,4367.26,175.49,173.64,170.61,133.6,150.64,1102.19,1105.02
2018-09-24,3395.145,2789.3149999999996,27499.39,2919.37,7993.25,26562.05,4287.3,175.56,173.685,170.65,133.64499999999998,150.68,1099.935,1095.17
2018-09-25,3379.8,2781.14,27658.129999999997,2915.56,8007.47,26492.21,4313.595,175.63,173.73,170.69,133.69,150.72,1097.68,1085.32
